country,country_code,region,income_group,year,population_total,population_female,population_male,population_growth_pct,urban_population_pct,fertility_rate,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_usd,gdp_growth_pct,gdp_per_capita_ppp,inflation_consumer_pct,investment_gdp_pct,unemployment_total_pct,unemployment_female_pct,unemployment_male_pct,employment_total_pct,labor_force_participation_pct,life_expectancy_total,life_expectancy_female,life_expectancy_male,infant_mortality_rate,school_enrollment_tertiary_pct,internet_users_pct,mobile_subscriptions_per_100,co2_per_capita,renewable_energy_pct,exports_gdp_pct,imports_gdp_pct
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2019,37856121.0,18736474.0,19119647.0,2.98438913621969,25.1437258839803,5.238,88.5120276122222,18799444490.1128,496.6025042585,3.91160341625552,2583.48533239877,2.30237251516834,,11.187,15.569,10.029,38.913,43.814,62.941,66.144,59.91,56.6,,17.60000038,59.6470805870469,0.319752781855278,18.9,,
Albania,ALB,Europe & Central Asia,Upper middle income,2019,2567801.0,1296660.0,1271141.0,-1.54313709096794,56.7639071287255,1.395,47.0423753077936,15585111614.0376,6069.43903131027,2.06257790176122,16442.0254754945,1.41109078954242,24.6048342032887,11.466,11.318,11.587,53.392,60.306,79.467,81.06,77.834,8.0,61.4085141527142,68.5503911218006,91.1634968336332,1.94096037816015,40.1,30.9361224858484,44.4460064468406
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2019,43294546.0,21175753.0,22118793.0,1.84041291439333,72.4824561380175,2.997,57.267808691031,193459662090.677,4468.45341883656,0.899999999219148,13892.5333446205,1.95176821052892,39.8722500063772,12.302,21.731,10.37,37.011,42.203,75.682,77.091,74.35,20.7,53.8645018203122,55.79069901,104.922068012909,4.19651934911155,0.2,20.407941949491,26.0989006586763
American Samoa,ASM,East Asia & Pacific,High income,2019,50209.0,24788.0,25421.0,-1.38257886328442,83.0542171797274,2.404,57.1339154383,647000000.0,12886.1359517218,-0.487804878048777,,,,,,,,,72.751,75.723,70.105,,,,,0.00199167479933876,0.4,61.6692426584235,94.8995363214838
Andorra,AND,Europe & Central Asia,High income,2019,76474.0,37559.0,38915.0,1.73050296926809,88.5391793666245,1.045,38.0123080254823,3155149347.92156,41257.8045861543,2.01554763848308,57475.0692842215,,,,,,,,84.098,86.101,82.183,2.9,15.4352596927579,90.71869659,114.952794413788,,17.2,,
Angola,AGO,Sub-Saharan Africa ,Lower middle income,2019,32375632.0,16370876.0,16004756.0,3.38788422184303,66.6637823180533,5.442,91.6470396304726,81193813808.0382,2507.86807213642,-1.05523414494337,8621.65930812477,17.080954143438,24.4513559065733,16.497,16.547,16.447,62.644,75.021,63.051,65.506,60.609,35.5,,32.12939835,45.8065312825399,0.833846270553112,51.0,36.9500822651989,23.4212246087614
Antigua and Barbuda,ATG,Latin America & Caribbean ,High income,2019,91364.0,47940.0,43424.0,0.480553889847623,24.708337524045,1.468,40.6075902613192,1726448148.14815,18896.3721832248,3.1722219373937,26550.589844733,1.43135598182984,,,,,,,77.168,79.844,74.143,8.0,,71.09259796,201.392233264743,3.74983582154897,0.7,69.1646948026456,68.3730888293456
Argentina,ARG,Latin America & Caribbean ,Upper middle income,2019,44973465.0,22665751.0,22307714.0,0.710900853077743,91.8567844513802,1.882,55.5931801951266,447754683615.225,9955.97478680428,-2.00086100285785,23516.8261980886,53.5483043492339,14.1990461422681,9.843,10.718,9.202,54.355,60.289,76.847,79.439,74.163,8.9,95.1928240640628,79.9469520347551,125.302657911726,4.07504069344001,10.7,17.9248783778462,14.7057366680037
Armenia,ARM,Europe & Central Asia,Upper middle income,2019,2962500.0,1594385.0,1368115.0,-0.219168932037313,65.0047033570428,1.6,47.8107543362811,13619290539.2116,4597.22887399548,7.59999999853918,14975.7539538157,1.44344660770698,15.8155984319769,18.304,19.245,17.439,48.002,58.757,76.2219512195122,79.5,73.1,10.7,53.5944174785534,66.5439496866159,124.613701509519,2.16867510548523,10.3,42.2626073502911,55.5843975150359
Aruba,ABW,Latin America & Caribbean ,High income,2019,109203.0,57655.0,51548.0,0.270504632854835,62.288276286885,1.701,48.0999783009656,3347561738.94591,30654.4851235397,1.22914408896015,38554.7167828184,4.25746204335427,,,,,,,76.019,78.814,73.047,,,,131.682169673877,4.66562273930203,8.3,66.7030809219838,71.2201683514275
